,Matrix
Min,"[[ 0.         0.       ]
 [-2.4427435 -2.4427435]]"
Max,"[[1.494 6.787]
 [1.248 6.649]]"
Mean,"[[ 0.18499592  0.66742929]
 [-0.21711619  0.26531719]]"
Std,"[[0.15089897 1.55648074]
 [0.6004045  1.61821547]]"
Skew,"[[ 2.0738303   3.00666991]
 [-1.55587998  2.3889173 ]]"
Kurt,"[[6.32740527 7.3170694 ]
 [1.51912747 5.72775076]]"
Load,"[[ 6482.25699    23386.72242761]
 [-7607.75125716  9296.71418045]]"
q5,"[[ 0.047       0.049     ]
 [-1.63100362 -1.5774784 ]]"
q95,"[[0.435      5.918     ]
 [0.284      5.35948062]]"
Entropy,"[[5.14769951 5.77539817]
 [6.68414449 7.21254028]]"
KL,"[[0.         0.14796023]
 [0.91757669 0.96131981]]"
TVD,"[[0.         0.01311976]
 [0.04055616 0.04297135]]"
Wasserstein,"[[0.         0.48242297]
 [0.4020962  0.72185266]]"
