,Matrix
Min,"[[ 0.011  0.011]
 [-2.486 -2.486]]"
Max,"[[0.761 6.471]
 [0.761 6.471]]"
Mean,"[[ 0.02871441  0.51114779]
 [-0.3733977   0.10903568]]"
Std,"[[0.04333785 1.5399077 ]
 [0.63825532 1.62329337]]"
Skew,"[[ 8.19352969  3.04853538]
 [-1.52738709  2.3010651 ]]"
Kurt,"[[85.07622125  7.46771071]
 [ 1.14058303  5.50035261]]"
Load,"[[  1006.153       17910.61843761]
 [-13083.85524716   3820.61019045]]"
q5,"[[ 0.012       0.012     ]
 [-1.86553079 -1.81354538]]"
q95,"[[0.059      5.766     ]
 [0.045      5.13834128]]"
Entropy,"[[5.13228252 5.92447096]
 [8.96219601 9.46546364]]"
KL,"[[0.         0.17793599]
 [1.0148822  1.09481348]]"
TVD,"[[0.         0.01591293]
 [0.05394273 0.05840321]]"
Wasserstein,"[[0.         0.4824235 ]
 [0.40215194 0.7663648 ]]"
